101 N
103 N
103 Y N
103 Y N
103 Y N
103 Y N
103 Y N
103 Y N
103 Y N
103 Y N
103 Y N
104 N
104 Y N
104 Y N
104 Y N
104 Y N
104 Y N
104 Y N
104 Y N
104 Y N
104 Y N
104 Y N
104 Y N
104 Y N
104 Y N
104 Y N
104 Y Y
104 Y Y
104 Y Y
104 Y Y
104 Y Y
104 Y Y
104 Y Y
104 Y Y
104 Y Y
104 Y Y
105 N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
105 Y N
107 N
107 Y N
107 Y N
107 Y N
107 Y N
107 Y N
107 Y N
107 Y N
107 Y N
107 Y N
107 Y N
107 Y N
107 Y N
107 Y N
107 Y N
107 Y N
107 Y N
107 Y N
107 Y N
107 Y Y
107 Y Y
107 Y Y
107 Y Y
107 Y Y
107 Y Y
107 Y Y
107 Y Y
107 Y Y
107 Y Y
107 Y Y
107 Y Y
108 N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
108 Y N
110 N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y N
110 Y Y
112 N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y N
112 Y Y
112 Y Y
112 Y Y
112 Y Y
112 Y Y
114 N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y N
114 Y Y
114 Y Y
114 Y Y
114 Y Y
114 Y Y
114 Y Y
114 Y Y
114 Y Y
114 Y Y
114 Y Y
115 N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
115 Y N
116 N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
116 Y N
117 N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
127 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
117 Y N
